ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,set_number,prod_long_desc,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,piece_cost
6-12,29.99,2.0,277.0,4.0,Catapult into action and take back the eggs from the Piggy Trike!,75823.0,"Use the staircase catapult to launch Red into the air and race after the piggy, who is speeding off in the Piggy Trike with the eggs. Help him take the eggs out of the trike's box in this hilarious set, which also features Matilda's House to help Red relax, and a spinning Billy the Sign, based on The Angry BirdsTM Movie. Includes 3 figures.
Includes 3 figures: Red, Matilda and Biker Pig.
Bird Island Egg Heist features Matilda's House with a staircase catapult and easel, plus a branch, plants, flower elements and a Piggy Trike.
Piggy Trike features a giant front wheel, 2 balloons and a box at the rear for eggs.
Accessory elements include spinning Billy the Sign, 4 eggs and 2 bird nests.
Use Red to get into a fight with Billy the Sign to make it spin!
Place Red inside Matilda's House next to the easel and help him paintto relieve his anger!
Place the eggs in the Piggy Trike's box and watch the piggy zoom off.
Position Red on the staircase catapult and launch him at the Piggy Trike!
Create fun action scenes with a twist from The Angry BirdsTM movie.
This set offers an age-appropriate building experience for children ages 6-12.
Matilda's House measures over 5” (15cm) high, 6” (17cm) wide and 3” (9cm) deep.
Billy the Sign stands over 2” (7cm) high.
Piggy Trike measures over 3” (8cm) high,5” (15c m) long and 2” (6cm) wide.",Average,Bird Island Egg Heist,4.5,Angry Birds™,4.0,US,0.10826714801444043
6-12,19.99,2.0,168.0,4.0,Launch a flying attack and rescue the eggs from the Piggy Plane!,75822.0,"Pilot Pig has taken off from Bird Island with 4 eggs in his plane and is making his escape. Shoot Red into the sky using the catapult and on to the Piggy Plane. Battle with the piggy and take control of the plane, and land it safely without damaging the eggs! Includes 2 figures.
Includes 2 figures: Red and Pilot Pig.
Piggy Plane features a spinning propeller, landing wheels, cockpit, joystick and 2 flick missiles.
Accessory elements include a catapult, 4 eggs and 2 balloons.
Use the catapult to launch Red at the Piggy Plane and bring it down to the ground to save the eggs!
Create fun scenes with an action twist from The Angry BirdsTM Movie.
This set offers an age-appropriate building experience for children ages 6-12.
Piggy Plane measures over 3” (9cm) high, 4” (12cm) long and 5” (13cm) wide.
Catapult measures over 1” (5cm) high, 3” (9cm) long and 2” (6cm) wide.",Easy,Piggy Plane Attack,5.0,Angry Birds™,4.0,US,0.11898809523809523
6-12,12.99,11.0,74.0,4.3,Chase the piggy with lightning-fast Chuck and rescue the eggs!,75821.0,"Pitch speedy bird Chuck against the Piggy Car. Chase the car to try and take back the eggs, but watch out for its ice cream shooter in this fun set, based on The Angry BirdsTM Movie. Includes 2 figures.
Includes 2 figures: Chuck the Angry Bird and a piggy.
Piggy Car features 2 exhaust pipes (one with a flame), a nest, 2 eggs, flag and an ice cream shooter.
Send speedy Chuck racing after the Piggy Car to remove the eggs from the nest and bring them back to the flock.
Create fun action scenes with a twist from The Angry BirdsTM Movie.
This set offers an age-appropriate building experience for children ages 6-12.
Piggy Car measures over 2” (6cm) high, 6” (16cm) long and 2” (6cm)wide.",Easy,Piggy Car Escape,4.3,Angry Birds™,4.1,US,0.17554054054054055
12+,99.99,23.0,1032.0,3.6,Explore the architecture of the United States Capitol Building!,21030.0,"Discover the architectural secrets of the iconic United States Capitol Building with this amazing LEGO® Architecture interpretation that focuses on the structure's neoclassical style facade, steps and lawns, finished with a decorative “U.S. Capitol” nameplate. Remove the dome to access the rotunda interior depicting the National Statuary Hall, with columns, 8 statues and tiled floor. This model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in travel, architectural culture, history and design. The scale of this model matches the LEGO Architecture 21022 Lincoln Memorial.
Build a detailed model of the United States Capitol Building!
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
United States Capitol Building measures 6 inches high, 17 inches wide, and 6 inches deep
1,032 pieces – For boys and girls over the age of 12 years old
This model of the United States Capitol Building matches the scale of the LEGO Architecture Lincoln Memorial 21022",Average,United States Capitol Building,4.6,Architecture,4.3,US,0.09688953488372093
12+,79.99,14.0,744.0,3.2,Recreate the Solomon R. Guggenheim Museum® with LEGO® Architecture!,21035.0,"Discover the architectural secrets of Frank Lloyd Wright’s Solomon R. Guggenheim Museum®. This accurately detailed LEGO® model faithfully recreates the curves and distinctive lines that have made this building an architectural icon for the last half-century. The simple, grid-patterned facade of the annex tower complements the main building with its circular rotundas, while buildable exterior elements depict a section of New York City’s 5th Avenue Museum Mile, complete with its signature yellow cabs. The Guggenheim sign, featuring Wright’s architectural lettering, has also been recreated in a similar typeface to heighten the authenticity of the model. This LEGO Architecture model has been designed to deliver a rewarding building experience for all with an interest in architecture, travel, history and design, and is suitable for display in the home and office.
Build a detailed model of New York City’s architectural icon!
Includes Frank Lloyd Wright’s famous rotunda, the 8-story annex tower and 5th Avenue Museum Mile with scaled yellow cabs
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The museum is over 4” high, 7” wide and 5” deep
744 pieces – For boys and girls over 12 years old",Challenging,Solomon R. Guggenheim Museum®,4.6,Architecture,4.1,US,0.10751344086021505
12+,59.99,7.0,597.0,3.7,Celebrate Shanghai with this LEGO® Architecture Skyline set!,21039.0,"Recreate Shanghai in China's blend of historical and modern architecture with this realistic 21039 LEGO® Architecture Skyline Collection model. This LEGO brick collectible toy features the city's iconic points of interest, including Chenghuang Miao Temple, Longhua Temple and Pagoda, Radisson Blu Hotel, Bund area, Oriental Pearl, World Financial Center, the Shanghai Tower and Huangpu River, and is finished with a decorative Shanghai nameplate. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with realistic color depiction.
LEGO® Architecture interpretation of Shanghai, China.
Features iconic attractions Chenghuang Miao Temple, Longhua Temple and Pagoda, Radisson Blu Hotel, Bund area, Oriental Pearl, World Financial Center and the Shanghai Tower.
The Huangpu River is represented in the tiled baseplate.
The included booklet contains information about the designer, architecture and history of each structure, as well as historical facts about Shanghai and its architectural heritage (English language only. Other languages available for download at LEGO.com/architecture. Ask your parents before going online).
Includes a 4x32 tiled base with decorative Shanghai nameplate.
Recreate the world's most dynamic cities with the LEGO® Architecture Skyline Collection.
LEGO® Architecture celebrates the world of architecture through the medium of the LEGO brick, and is developed for all with an interest in travel, design, architecture and history.
This collectible souvenir toy includes over 595 pieces and is suitable for ages 12+.
Measures over 9” (25cm) high, 11” (28cm) wide and 2” (7cm) deep.",Average,Shanghai,4.9,Architecture,4.4,US,0.10048576214405361
12+,59.99,37.0,598.0,3.7,Celebrate New York City with this LEGO® Architecture Skyline model!,21028.0,"Celebrate the architectural diversity of New York City with this detailed LEGO® brick model. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with true-to-life color depiction. This set features the Flatiron Building, Chrysler Building™, Empire State Building, One World Trade Center and the Statue of Liberty, and is finished with a decorative “New York City” nameplate.
Build a detailed model of the New York City Skyline, including the Statue of Liberty!
Model features the Flatiron Building, Chrysler Building, Empire State Building, and the One World Trade Center
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
New York City Skyline measures 10 inches high, 9 inches wide, and 1 inch deep
598 pieces – For boys and girls over the age of 12 years old",Average,New York City,4.2,Architecture,4.1,US,0.10031772575250836
12+,49.99,24.0,780.0,4.4,Recreate Buckingham Palace with LEGO® Architecture!,21029.0,"Build a LEGO® brick model of London's official royal residence. This magnificent model focuses on the palace's east wing with its famous balcony, forecourt and palace gates. A section of the Mall is also depicted, complete with a double-decker bus, black taxicab and the Victoria Memorial. The model has been designed to deliver an interesting and rewarding building experience and is suitable for display in the home and office. It has been developed for all with an interest in architecture, travel, history and design.
Build a detailed model of London's official royal residence!
Includes the east wing, forecourt and palace gates, with the Mall, Victoria Memorial, red double-decker bus and black taxicab
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The skyline is over 3” high, 7” wide and 7” deep
780 pieces – For boys and girls over 12 years old",Average,Buckingham Palace,4.7,Architecture,4.3,US,0.06408974358974359
12+,39.99,23.0,468.0,3.6,Celebrate London with this LEGO® Architecture Skyline model!,21034.0,"Celebrate the architectural diversity of London with this detailed LEGO® brick model. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with true-to-life color depiction. This set features the National Gallery, Nelson’s Column, London Eye, Big Ben (the Elizabeth Tower) and Tower Bridge, and is finished with a decorative “London” nameplate.
Build a detailed model of the London skyline!
Model features the National Gallery, Nelson’s Column, London Eye, Big Ben and Tower Bridge
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Archiecture models are compatible with all LEGO construction sets for creative building
Measures over 5” high, 11” wide and 3” deep
468 pieces – For boys and girls ages 12 and older",Average,London,4.7,Architecture,4.1,US,0.08544871794871796
12+,39.99,11.0,444.0,3.6,Celebrate Chicago with this LEGO® Architecture Skyline model!,21033.0,"Recreate Chicago’s blend of historical and modern architecture with this realistic LEGO® brick model. The LEGO Architecture Skyline Collection offers models suitable for display in the home and office, and has been developed for all with an interest in travel, architectural culture, history and design. Each set is scaled to give an accurate representation of the comparative size of each structure, with true-to-life color depiction. This set features the Willis Tower™, John Hancock Center, Cloud Gate, DuSable Bridge, Wrigley Building and the Big Red, and is finished with a decorative “Chicago” nameplate.
Build a detailed model of the Chicago skyline!
Includes Willis Tower, John Hancock Center, Cloud Gate, DuSable Bridge, Wrigley Building and the Big Red
Includes collectible booklet containing information about the design, architecture and history of the building
LEGO Architecture building toys are compatible with all LEGO construction sets for creative building
The skyline is over 7” high, 8” wide and 1” deep
444 pieces – For boys and girls over 12 years old",Average,Chicago,4.8,Architecture,4.5,US,0.09006756756756758
